target,kernel,correlation_method,kernel_objective_spearman_correlation,kernel_objective_spearman_p_value,kernel_condition_number,kernel_log_abs_determinant,surrogate_normalized_mse_mean,surrogate_normalized_mse_std,surrogate_r2_mean,surrogate_r2_std,surrogate_nlpd_mean,surrogate_nlpd_std
target_len_5,noisy_hierarchical_tree_kernel,spearman,0.027606230162371587,1.8038539598392354e-22,223515.2828394547,-3893.4445696364514,0.5121651692880238,0.574541385575657,0.6164778884177808,0.15457581713388727,1.3653060173368625,1.1939259037467636
target_len_5,noisy_hierarchical_wl_kernel,spearman,0.0315662086203074,7.013976064089717e-29,7913832227.006151,-5000.544728836983,0.5167020530144706,0.5500513115735065,0.5996836888296901,0.13596695643320228,1.3784119575127822,1.1265695257362944
target_len_5,noisy_hierarchical_damg_kernel,spearman,0.124493496915301,0.0,4894.394279242009,-2553.047493064907,0.533090291736846,0.6392017324880073,0.6233823910991407,0.19878694393437688,1.3310811967024907,1.046024162588688
target_len_5,noisy_combined_hierarchical_kernel,spearman,0.13987937366254177,0.0,9835.112975877428,-2583.000450213705,0.5200975379544626,0.6174799551266219,0.6298027619603822,0.18923209873987162,1.3232929548774515,1.039543874810864
target_len_5,noisy_hierarchical_damg_kernel_13,spearman,0.20654421331727743,0.0,2972.3839382693527,-2644.223018675828,0.5330907352672188,0.6392023427370137,0.6233817578094457,0.19878676930643963,1.3310744531156018,1.046009873410316
target_len_5,tree_kernel_1,spearman,0.043464651926367136,3.092250200871802e-53,127199.13823825483,-2195.043735960881,0.5226532594229082,0.5698245275442784,0.5996723026551704,0.14532251639207264,26.13360108702971,31.698959890688442
target_len_5,tree_kernel_2,spearman,0.03228140702377562,3.9641464280312626e-30,187662.6633895372,-inf,1.2026769450696755,0.6684933119628241,-0.1907853444966426,0.17154445964602036,137.15636042038153,56.42618656628315
target_len_5,tree_kernel_3,spearman,0.013923456630923101,8.745558152734035e-07,114774.5555415228,-3003.6353646200537,1.204295639881273,0.6638567818847526,-0.19727407890703402,0.18984367612781503,110.79723319464742,47.143248828050524
target_len_5,wl_kernel_1,spearman,0.049459795284153785,2.045526917837938e-68,87686970.34326376,-5147.528864007188,0.676595306936432,0.5059364884730698,0.3745444997348496,0.17256273740083536,172.2533865929077,177.59477167358725
target_len_5,wl_kernel_2,spearman,0.03363931311466921,1.4224968220576854e-32,4.314821208260773e+16,-inf,1.2954255613990993,0.6290923894087357,-0.3135672543421796,0.18597603052191722,1490.4711696064887,1124.1162830084106
target_len_5,wl_kernel_3,spearman,0.014716323052847386,2.0141198364982618e-07,4.146331580876529e+16,-12888.220892227188,1.2964850985096823,0.6667140290333542,-0.3008542694703208,0.1790947160666537,1777.025141933585,1403.7235996866075
target_len_5,damg_kernel_1,spearman,0.38706183182750026,0.0,757.5946445101354,-399.21033192264036,0.5455181790365639,0.6124642086224971,0.5964239516177202,0.18332820268544767,1.196290717573191,0.8469736507659095
target_len_5,damg_kernel_2,spearman,-0.027387160000891322,3.8564451224535637e-22,3.4874986742850844e+16,-inf,1.304906063611543,0.7091417706082102,-0.2817253438693584,0.14276450832525253,6924.7606134251455,6898.574992657292
target_len_5,damg_kernel_3,spearman,0.018033703178578882,1.890874145113503e-10,3.911077453800608e+16,-inf,1.1508553377071808,0.7329870346530353,-0.08448148731889252,0.05171135425103866,25172.496982390036,20143.986846428652
